n_im,nt,nt,nt,nt_norm,nt_norm,nt_norm,steady,steady,steady,sample_id,parent_id,perm_id,rotate,ksim,alph_k
,mean,std,sem,mean,std,sem,mean,std,sem,,,,,,
12,14.116486197556318,,,7.487497261852044,,,6.628988935704274,,,0,12345,4,1.8849555921538759,0.025709428826417705,0.4
3,31.836143264203844,,,30.031537209496683,,,1.804606054707163,,,0,12345,4,3.141592653589793,2.6982786226110557e-06,0.4
6,59.41770794326091,,,55.897094642918624,,,3.520613300342282,,,0,12345,4,3.141592653589793,2.6982786226110557e-06,0.4
9,86.95222410341385,,,81.86329008999368,,,5.0889340134201655,,,0,12345,4,3.141592653589793,2.6982786226110557e-06,0.4
12,109.53055539267417,,,102.9015664569699,,,6.628988935704274,,,0,12345,4,3.141592653589793,2.6982786226110557e-06,0.4
3,1.3479096316792887,,,-0.4566965575615438,,,1.8046061892408325,,,0,12345,5,0.0,0.28868679127047286,0.4
6,1.3374471364859641,,,-2.183166060603292,,,3.520613197089256,,,0,12345,5,0.0,0.28868679127047286,0.4
9,1.3356829199225835,,,-3.7532508353911167,,,5.0889337553137,,,0,12345,5,0.0,0.28868679127047286,0.4
12,1.335320731393157,,,-5.2936682437268425,,,6.6289889751199995,,,0,12345,5,0.0,0.28868679127047286,0.4
3,6.959232783400705,,,5.154626594159873,,,1.8046061892408325,,,0,12345,5,1.5707963267948966,0.028782830246681015,0.4
6,7.089119875370929,,,3.568506678281673,,,3.520613197089256,,,0,12345,5,1.5707963267948966,0.028782830246681015,0.4
9,7.112961202532996,,,2.0240274472192956,,,5.0889337553137,,,0,12345,5,1.5707963267948966,0.028782830246681015,0.4
12,7.11794031335868,,,0.48895133823868075,,,6.6289889751199995,,,0,12345,5,1.5707963267948966,0.028782830246681015,0.4
3,8.694408335635789,,,6.889802146394956,,,1.8046061892408325,,,0,12345,5,1.5990706606772047,0.027758513011792756,0.4
6,9.239236039894928,,,5.718622842805672,,,3.520613197089256,,,0,12345,5,1.5990706606772047,0.027758513011792756,0.4
9,9.352143458657654,,,4.2632097033439535,,,5.0889337553137,,,0,12345,5,1.5990706606772047,0.027758513011792756,0.4
12,9.376298722027911,,,2.747309746907912,,,6.6289889751199995,,,0,12345,5,1.5990706606772047,0.027758513011792756,0.4
3,11.867938771496455,,,10.063332582255622,,,1.8046061892408325,,,0,12345,5,1.8849555921538759,0.025709428826417708,0.4
6,13.633589776309153,,,10.112976579219897,,,3.520613197089256,,,0,12345,5,1.8849555921538759,0.025709428826417708,0.4
9,14.032758515215487,,,8.943824759901787,,,5.0889337553137,,,0,12345,5,1.8849555921538759,0.025709428826417708,0.4
12,14.117338291979522,,,7.488349316859522,,,6.6289889751199995,,,0,12345,5,1.8849555921538759,0.025709428826417708,0.4
3,31.83636957574681,,,30.03176338650598,,,1.8046061892408325,,,0,12345,5,3.141592653589793,2.6982786226110566e-06,0.4
6,59.41729432619476,,,55.8966811291055,,,3.520613197089256,,,0,12345,5,3.141592653589793,2.6982786226110566e-06,0.4
9,86.94885241434373,,,81.85991865903003,,,5.0889337553137,,,0,12345,5,3.141592653589793,2.6982786226110566e-06,0.4
