Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,coef,shift,train_rss,train_mse,train_nmse
32,4,2,8,0.8,0.001,2.6666666666666665,32,,0,32.0,2.617899639658628,-10.986340901569815,0.00030304815425161234,1.5152407712580617e-05,0.034601626355034984
33,4,2,8,0.8,0.0001,2.6666666666666665,33,,1,33.0,0.0367246455084675,-0.04514673852126515,5.176611875201291e-05,2.5883059376006456e-06,0.005910585079559153
34,4,2,8,0.8,1e-05,2.6666666666666665,34,,2,34.0,0.021934862106479294,0.025405397708251048,3.1383177484411405e-05,1.5691588742205702e-06,0.003583288549739031
35,4,2,8,0.8,1e-06,2.6666666666666665,35,,3,35.0,0.01931251687826991,0.03510185875751756,2.713591544107411e-05,1.3567957720537055e-06,0.0030983419424303426
36,4,2,8,0.9,0.1,2.6666666666666665,36,,4,36.0,-2.896791863647936,12.509540251947438,0.0006588463285975789,3.2942316429878946e-05,0.07522617830759724
37,4,2,8,0.9,0.01,2.6666666666666665,37,,5,37.0,-2.812105022171144,12.13109481950725,0.0006682531034523514,3.341265517261757e-05,0.07630023107500178
38,4,2,8,0.9,0.001,2.6666666666666665,38,,6,38.0,3.344440336794574,-14.08587671054607,0.0005691239552888801,2.8456197764444e-05,0.06498179967219084
39,4,2,8,0.9,0.0001,2.6666666666666665,39,,7,39.0,0.03847863929936787,-0.05441907199059701,5.8240541844238e-05,2.9120270922119e-06,0.00664982590831398
40,4,2,8,0.9,1e-05,2.6666666666666665,40,,0,40.0,0.0219338876951009,0.024695408962112395,3.2936072951031634e-05,1.6468036475515818e-06,0.003760596043451097
41,4,2,8,0.9,1e-06,2.6666666666666665,41,,1,41.0,0.01906283070421909,0.0354013653392333,2.766269841064054e-05,1.3831349205320269e-06,0.003158489305901824
42,4,4,8,0.0,0.1,2.6666666666666665,42,,2,42.0,-0.44458914942137406,1.9688816733249075,0.0004251313904775671,2.1256569523878356e-05,0.04854092433405075
43,4,4,8,0.0,0.01,2.6666666666666665,43,,3,43.0,-0.06294727904613229,0.3230005330458364,0.0005089250270258979,2.5446251351294897e-05,0.058108367864387056
44,4,4,8,0.0,0.001,2.6666666666666665,44,,4,44.0,-0.005382298886511826,0.08901403438219935,0.0007579435963097019,3.789717981548509e-05,0.08654096964380453
45,4,4,8,0.0,0.0001,2.6666666666666665,45,,5,45.0,0.0362734056567979,-0.010429264142171773,0.000492764470475144,2.46382235237572e-05,0.05626317748254982
46,4,4,8,0.0,1e-05,2.6666666666666665,46,,6,46.0,0.035347529486337834,-0.003538011313204784,0.0004245447696953839,2.1227238484769193e-05,0.04847394477046512
