Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
121,4,6,8,0.9,0.01,2.6666666666666665,121,,1,121.0,2.5358530731174893e-05,1.9103481292365074e-06,1.9103481292365074e-06
122,4,6,8,0.9,0.001,2.6666666666666665,122,,2,122.0,2.8172504933812438e-05,2.1473807118079796e-06,2.1473807118079796e-06
123,4,6,8,0.9,0.0001,2.6666666666666665,123,,3,123.0,7.925651197977384e-06,8.148143647392858e-07,8.148143647392858e-07
124,4,6,8,0.9,1e-05,2.6666666666666665,124,,4,124.0,2.0994302290189338e-06,1.85536674958757e-07,1.85536674958757e-07
125,4,6,8,0.9,1e-06,2.6666666666666665,125,,5,125.0,1.669631244309573e-06,1.3549360241146517e-07,1.3549360241146517e-07
126,4,8,8,0.0,0.1,2.6666666666666665,126,,6,126.0,2.0126927230406974e-05,1.5330337431550264e-06,1.5330337431550264e-06
127,4,8,8,0.0,0.01,2.6666666666666665,127,,7,127.0,2.672319053535981e-05,1.9875343065694896e-06,1.9875343065694896e-06
128,4,8,8,0.0,0.001,2.6666666666666665,128,,0,128.0,3.719801701042813e-05,2.3588629841677332e-06,2.3588629841677332e-06
129,4,8,8,0.0,0.0001,2.6666666666666665,129,,1,129.0,3.147319464858748e-05,2.484352896177545e-06,2.484352896177545e-06
130,4,8,8,0.0,1e-05,2.6666666666666665,130,,2,130.0,2.3955979918870108e-05,1.943303411935778e-06,1.943303411935778e-06
131,4,8,8,0.0,1e-06,2.6666666666666665,131,,3,131.0,2.3230301643899647e-05,1.868864134120146e-06,1.868864134120146e-06
132,4,8,8,0.01,0.1,2.6666666666666665,132,,4,132.0,2.4156584460057764e-05,1.5155961076246613e-06,1.5155961076246613e-06
133,4,8,8,0.01,0.01,2.6666666666666665,133,,5,133.0,4.1822920493334076e-05,2.2413357734788244e-06,2.2413357734788244e-06
