Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
142,4,8,8,0.1,1e-05,2.6666666666666665,142,,6,142.0,1.6329491413967605e-06,1.0555589327220454e-07,1.0555589327220454e-07
143,4,8,8,0.1,1e-06,2.6666666666666665,143,,7,143.0,2.1593328789980274e-06,1.2904208763677554e-07,1.2904208763677554e-07
144,4,8,8,0.2,0.1,2.6666666666666665,144,,0,144.0,2.606753914311863e-05,1.9552576022033505e-06,1.9552576022033505e-06
145,4,8,8,0.2,0.01,2.6666666666666665,145,,1,145.0,3.967170306608138e-05,1.8048351897654744e-06,1.8048351897654744e-06
146,4,8,8,0.2,0.001,2.6666666666666665,146,,2,146.0,5.309694396181225e-06,4.995588713608697e-07,4.995588713608697e-07
147,4,8,8,0.2,0.0001,2.6666666666666665,147,,3,147.0,2.351778854408856e-06,1.8605235437420848e-07,1.8605235437420848e-07
148,4,8,8,0.2,1e-05,2.6666666666666665,148,,4,148.0,1.2841430997980872e-06,1.0221346835891956e-07,1.0221346835891956e-07
149,4,8,8,0.2,1e-06,2.6666666666666665,149,,5,149.0,1.1319397968983653e-06,9.779054500397954e-08,9.779054500397954e-08
150,4,8,8,0.5,0.1,2.6666666666666665,150,,6,150.0,2.438285007378551e-05,1.8317911149527803e-06,1.8317911149527803e-06
151,4,8,8,0.5,0.01,2.6666666666666665,151,,7,151.0,2.867782602519446e-05,2.1359151362679165e-06,2.1359151362679165e-06
152,4,8,8,0.5,0.001,2.6666666666666665,152,,0,152.0,1.9713934198474172e-05,1.2241258283425083e-06,1.2241258283425083e-06
153,4,8,8,0.5,0.0001,2.6666666666666665,153,,1,153.0,5.424278083951834e-06,5.417508367907974e-07,5.417508367907974e-07
154,4,8,8,0.5,1e-05,2.6666666666666665,154,,2,154.0,1.6460270329998127e-06,1.5251563753796287e-07,1.5251563753796287e-07
155,4,8,8,0.5,1e-06,2.6666666666666665,155,,3,155.0,1.403170705946633e-06,1.217178549165774e-07,1.217178549165774e-07
156,4,8,8,0.8,0.1,2.6666666666666665,156,,4,156.0,2.400064568495692e-05,1.8017966576810222e-06,1.8017966576810222e-06
157,4,8,8,0.8,0.01,2.6666666666666665,157,,5,157.0,2.451086761173546e-05,1.8445013926633384e-06,1.8445013926633384e-06
158,4,8,8,0.8,0.001,2.6666666666666665,158,,6,158.0,3.1816711675856764e-05,2.3124917007485534e-06,2.3124917007485534e-06
159,4,8,8,0.8,0.0001,2.6666666666666665,159,,7,159.0,8.264518074571405e-06,8.05260902613454e-07,8.05260902613454e-07
160,4,8,8,0.8,1e-05,2.6666666666666665,160,,0,160.0,1.9070954797787862e-06,1.8216429139276408e-07,1.8216429139276408e-07
161,4,8,8,0.8,1e-06,2.6666666666666665,161,,1,161.0,1.5423220196795195e-06,1.3040541907850965e-07,1.3040541907850965e-07
162,4,8,8,0.9,0.1,2.6666666666666665,162,,2,162.0,2.3953720543051984e-05,1.7980523672394891e-06,1.7980523672394891e-06
163,4,8,8,0.9,0.01,2.6666666666666665,163,,3,163.0,2.4028751097234563e-05,1.8064550472511223e-06,1.8064550472511223e-06
164,4,8,8,0.9,0.001,2.6666666666666665,164,,4,164.0,2.5639842631647505e-05,1.951527424648682e-06,1.951527424648682e-06
165,4,8,8,0.9,0.0001,2.6666666666666665,165,,5,165.0,9.130931657945612e-06,8.664650254985994e-07,8.664650254985994e-07
166,4,8,8,0.9,1e-05,2.6666666666666665,166,,6,166.0,2.060328028842763e-06,1.911171957119646e-07,1.911171957119646e-07
167,4,8,8,0.9,1e-06,2.6666666666666665,167,,7,167.0,1.6364248561302045e-06,1.3333349440118856e-07,1.3333349440118856e-07
168,4,10,8,0.0,0.1,2.6666666666666665,168,,0,168.0,1.7596983121258107e-05,1.3544207133644437e-06,1.3544207133644437e-06
169,4,10,8,0.0,0.01,2.6666666666666665,169,,1,169.0,2.5021555525389626e-05,1.8529429959270666e-06,1.8529429959270666e-06
170,4,10,8,0.0,0.001,2.6666666666666665,170,,2,170.0,3.366185996507605e-05,2.2660752222884273e-06,2.2660752222884273e-06
171,4,10,8,0.0,0.0001,2.6666666666666665,171,,3,171.0,3.160370421728241e-05,2.4314481198283574e-06,2.4314481198283574e-06
172,4,10,8,0.0,1e-05,2.6666666666666665,172,,4,172.0,2.2908534494144675e-05,1.8593216926108715e-06,1.8593216926108715e-06
173,4,10,8,0.0,1e-06,2.6666666666666665,173,,5,173.0,2.2045776851360292e-05,1.7721823765835856e-06,1.7721823765835856e-06
174,4,10,8,0.01,0.1,2.6666666666666665,174,,6,174.0,2.193829065803569e-05,1.237862686519505e-06,1.237862686519505e-06
175,4,10,8,0.01,0.01,2.6666666666666665,175,,7,175.0,3.986307750717069e-05,2.141260852805488e-06,2.141260852805488e-06
176,4,10,8,0.01,0.001,2.6666666666666665,176,,0,176.0,3.986713278370091e-05,2.112974433413842e-06,2.112974433413842e-06
177,4,10,8,0.01,0.0001,2.6666666666666665,177,,1,177.0,2.432288579405076e-05,1.926719476192703e-06,1.926719476192703e-06
178,4,10,8,0.01,1e-05,2.6666666666666665,178,,2,178.0,1.853957920211927e-05,1.4411365036706616e-06,1.4411365036706616e-06
179,4,10,8,0.01,1e-06,2.6666666666666665,179,,3,179.0,1.814495384285909e-05,1.3957262150907182e-06,1.3957262150907182e-06
180,4,10,8,0.1,0.1,2.6666666666666665,180,,4,180.0,2.7886582468179863e-05,2.0780157593363224e-06,2.0780157593363224e-06
181,4,10,8,0.1,0.01,2.6666666666666665,181,,5,181.0,2.6707562685615574e-05,1.3240807978775734e-06,1.3240807978775734e-06
182,4,10,8,0.1,0.001,2.6666666666666665,182,,6,182.0,4.195482058780525e-06,3.955649482856208e-07,3.955649482856208e-07
183,4,10,8,0.1,0.0001,2.6666666666666665,183,,7,183.0,1.8836251941540973e-06,1.321307981144459e-07,1.321307981144459e-07
184,4,10,8,0.1,1e-05,2.6666666666666665,184,,0,184.0,1.5822626388817849e-06,1.0352751607908657e-07,1.0352751607908657e-07
185,4,10,8,0.1,1e-06,2.6666666666666665,185,,1,185.0,2.0738927010984094e-06,1.2660298876486807e-07,1.2660298876486807e-07
