Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
0,4,6,8,0.5,2.6666666666666665,32,,0,1.162661513653025e-06,1.240106839392664e-07,1.240106839392664e-07
1,4,6,8,0.6,2.6666666666666665,33,,1,1.2224620229981998e-06,1.2878703512416314e-07,1.2878703512416314e-07
2,4,6,8,0.7,2.6666666666666665,34,,2,1.4624925282059099e-06,1.3688659155384186e-07,1.3688659155384186e-07
3,4,6,8,0.8,2.6666666666666665,35,,3,1.9702966677073317e-06,1.527696957019362e-07,1.527696957019362e-07
4,4,6,8,0.9,2.6666666666666665,36,,4,2.8834355235077933e-06,1.7622442813241586e-07,1.7622442813241586e-07
5,4,6,8,0.99,2.6666666666666665,37,,5,5.150661391269591e-06,3.001616009422252e-07,3.001616009422252e-07
6,4,6,8,0.999,2.6666666666666665,38,,6,5.86478723346755e-06,3.393485498554899e-07,3.393485498554899e-07
7,4,8,8,0.001,2.6666666666666665,39,,7,2.525477722862422e-05,1.8650808394343847e-06,1.8650808394343847e-06
0,4,8,8,0.01,2.6666666666666665,40,,0,3.855446438624729e-05,2.1236132801911277e-06,2.1236132801911277e-06
1,4,8,8,0.1,2.6666666666666665,41,,1,2.7310996867500506e-06,1.2134396491125068e-07,1.2134396491125068e-07
2,4,8,8,0.2,2.6666666666666665,42,,2,1.7090482740847525e-06,1.1125451893448094e-07,1.1125451893448094e-07
3,4,8,8,0.3,2.6666666666666665,43,,3,1.3619291036159296e-06,1.1471396585458378e-07,1.1471396585458378e-07
4,4,8,8,0.4,2.6666666666666665,44,,4,1.1889060121079545e-06,1.1714974528622686e-07,1.1714974528622686e-07
5,4,8,8,0.5,2.6666666666666665,45,,5,1.1847009195726221e-06,1.2159412374222857e-07,1.2159412374222857e-07
6,4,8,8,0.6,2.6666666666666665,46,,6,1.2812099114328222e-06,1.2700888925260422e-07,1.2700888925260422e-07
7,4,8,8,0.7,2.6666666666666665,47,,7,1.511252597901358e-06,1.3581085707331346e-07,1.3581085707331346e-07
0,4,8,8,0.8,2.6666666666666665,48,,0,2.062606043070628e-06,1.5045646480152435e-07,1.5045646480152435e-07
1,4,8,8,0.9,2.6666666666666665,49,,1,3.106945034150539e-06,1.8967232759879785e-07,1.8967232759879785e-07
2,4,8,8,0.99,2.6666666666666665,50,,2,5.4282418091154696e-06,3.2578923388469053e-07,3.2578923388469053e-07
3,4,8,8,0.999,2.6666666666666665,51,,3,6.164192498522924e-06,3.7126040721882646e-07,3.7126040721882646e-07
4,4,10,8,0.001,2.6666666666666665,52,,4,2.5251310875695797e-05,1.8648117310098408e-06,1.8648117310098408e-06
5,4,10,8,0.01,2.6666666666666665,53,,5,3.855066238442416e-05,2.1237577294087707e-06,2.1237577294087707e-06
6,4,10,8,0.1,2.6666666666666665,54,,6,2.7067936240150207e-06,1.205415950265276e-07,1.205415950265276e-07
7,4,10,8,0.2,2.6666666666666665,55,,7,1.7051583316864253e-06,1.1216254477801585e-07,1.1216254477801585e-07
0,4,10,8,0.3,2.6666666666666665,56,,0,1.3862421312477254e-06,1.1723353040526412e-07,1.1723353040526412e-07
1,4,10,8,0.4,2.6666666666666665,57,,1,1.221791339188328e-06,1.207017349943927e-07,1.207017349943927e-07
2,4,10,8,0.5,2.6666666666666665,58,,2,1.1994255695017952e-06,1.2560760060662258e-07,1.2560760060662258e-07
