,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old
6,16,10,8,0.001,2.6666666666666665,182,,6
7,16,10,8,0.01,2.6666666666666665,183,,7
0,16,10,8,0.1,2.6666666666666665,184,,0
1,16,10,8,0.2,2.6666666666666665,185,,1
2,16,10,8,0.3,2.6666666666666665,186,,2
3,16,10,8,0.4,2.6666666666666665,187,,3
4,16,10,8,0.5,2.6666666666666665,188,,4
5,16,10,8,0.6,2.6666666666666665,189,,5
6,16,10,8,0.7,2.6666666666666665,190,,6
7,16,10,8,0.8,2.6666666666666665,191,,7
0,16,10,8,0.9,2.6666666666666665,192,,0
1,16,10,8,0.99,2.6666666666666665,193,,1
2,16,10,8,0.999,2.6666666666666665,194,,2
3,32,2,8,0.001,2.6666666666666665,195,,3
4,32,2,8,0.01,2.6666666666666665,196,,4
5,32,2,8,0.1,2.6666666666666665,197,,5
6,32,2,8,0.2,2.6666666666666665,198,,6
7,32,2,8,0.3,2.6666666666666665,199,,7
0,32,2,8,0.4,2.6666666666666665,200,,0
1,32,2,8,0.5,2.6666666666666665,201,,1
2,32,2,8,0.6,2.6666666666666665,202,,2
3,32,2,8,0.7,2.6666666666666665,203,,3
4,32,2,8,0.8,2.6666666666666665,204,,4
5,32,2,8,0.9,2.6666666666666665,205,,5
6,32,2,8,0.99,2.6666666666666665,206,,6
7,32,2,8,0.999,2.6666666666666665,207,,7
0,32,4,8,0.001,2.6666666666666665,208,,0
1,32,4,8,0.01,2.6666666666666665,209,,1
2,32,4,8,0.1,2.6666666666666665,210,,2
3,32,4,8,0.2,2.6666666666666665,211,,3
4,32,4,8,0.3,2.6666666666666665,212,,4
5,32,4,8,0.4,2.6666666666666665,213,,5
6,32,4,8,0.5,2.6666666666666665,214,,6
7,32,4,8,0.6,2.6666666666666665,215,,7
0,32,4,8,0.7,2.6666666666666665,216,,0
1,32,4,8,0.8,2.6666666666666665,217,,1
2,32,4,8,0.9,2.6666666666666665,218,,2
3,32,4,8,0.99,2.6666666666666665,219,,3
4,32,4,8,0.999,2.6666666666666665,220,,4
5,32,6,8,0.001,2.6666666666666665,221,,5
6,32,6,8,0.01,2.6666666666666665,222,,6
7,32,6,8,0.1,2.6666666666666665,223,,7
0,32,6,8,0.2,2.6666666666666665,224,,0
1,32,6,8,0.3,2.6666666666666665,225,,1
2,32,6,8,0.4,2.6666666666666665,226,,2
3,32,6,8,0.5,2.6666666666666665,227,,3
4,32,6,8,0.6,2.6666666666666665,228,,4
5,32,6,8,0.7,2.6666666666666665,229,,5
6,32,6,8,0.8,2.6666666666666665,230,,6
7,32,6,8,0.9,2.6666666666666665,231,,7
0,32,6,8,0.99,2.6666666666666665,232,,0
1,32,6,8,0.999,2.6666666666666665,233,,1
2,32,8,8,0.001,2.6666666666666665,234,,2
3,32,8,8,0.01,2.6666666666666665,235,,3
4,32,8,8,0.1,2.6666666666666665,236,,4
5,32,8,8,0.2,2.6666666666666665,237,,5
6,32,8,8,0.3,2.6666666666666665,238,,6
7,32,8,8,0.4,2.6666666666666665,239,,7
0,32,8,8,0.5,2.6666666666666665,240,,0
1,32,8,8,0.6,2.6666666666666665,241,,1
2,32,8,8,0.7,2.6666666666666665,242,,2
3,32,8,8,0.8,2.6666666666666665,243,,3
4,32,8,8,0.9,2.6666666666666665,244,,4
5,32,8,8,0.99,2.6666666666666665,245,,5
6,32,8,8,0.999,2.6666666666666665,246,,6
7,32,10,8,0.001,2.6666666666666665,247,,7
0,32,10,8,0.01,2.6666666666666665,248,,0
1,32,10,8,0.1,2.6666666666666665,249,,1
2,32,10,8,0.2,2.6666666666666665,250,,2
3,32,10,8,0.3,2.6666666666666665,251,,3
4,32,10,8,0.4,2.6666666666666665,252,,4
5,32,10,8,0.5,2.6666666666666665,253,,5
6,32,10,8,0.6,2.6666666666666665,254,,6
7,32,10,8,0.7,2.6666666666666665,255,,7
0,32,10,8,0.8,2.6666666666666665,256,,0
1,32,10,8,0.9,2.6666666666666665,257,,1
2,32,10,8,0.99,2.6666666666666665,258,,2
3,32,10,8,0.999,2.6666666666666665,259,,3
