Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,mse_comb,mse_tem,mse_trec,mse_tmem,mse_steady,mse_mean,mse_mean2,coef,shift
1,4,8,8,0.9,2.6666666666666665,49,,1,0.0009069793058120335,1.6322088045456875e-05,0.00010436757663875453,4.020237123326762e-05,5.358640934046135e-05,5.361961131448509e-05,5.5861351657025296e-05,0.019053221326772368,0.037559871980602844
2,4,8,8,0.99,2.6666666666666665,50,,2,0.0009339004837354619,2.603734672233227e-05,0.00021182862402287215,5.991181417818887e-05,5.473540860568462e-05,8.812829838226947e-05,9.839652737904707e-05,0.019159699501628,0.037310082453153204
3,4,8,8,0.999,2.6666666666666665,51,,3,0.0009423487215494912,2.8177013682322112e-05,0.0002479078723493358,6.384289186609858e-05,5.505324847379509e-05,9.874525659288789e-05,0.00011184431873386826,0.01922602061601643,0.03718487610013896
4,4,10,8,0.001,2.6666666666666665,52,,4,0.0015556215712527071,0.0013214745937257361,0.0001023041018329436,0.0005171612725033698,5.3428757807105015e-05,0.0004985921814672886,0.0005696912369046391,-0.07195460277173381,0.36489247887135534
5,4,10,8,0.01,2.6666666666666665,53,,5,0.0017974694532860358,0.0013692134844050803,0.0007652164381253843,0.0006074060724654702,2.2297907563995222e-05,0.0006910334756399826,0.0008164273041817325,-0.012494330098151972,0.10933923098280893
6,4,10,8,0.1,2.6666666666666665,54,,6,0.000911329227841042,4.6267353379806966e-05,4.69873060618501e-05,7.929619653166335e-05,3.913157884916306e-05,5.2920608705620876e-05,5.082284904402343e-05,0.030669624412254695,0.014914761869167525
7,4,10,8,0.2,2.6666666666666665,55,,7,0.0008866953163218345,2.3093390109659258e-05,2.019866576078171e-05,5.1149725521397274e-05,4.786692456360128e-05,3.557717648885988e-05,3.093346030431342e-05,0.025497860002246832,0.02663670588527335
0,4,10,8,0.3,2.6666666666666665,56,,0,0.0008811946934381273,1.2896331911065415e-05,1.6718910750412276e-05,3.678316205504597e-05,5.073757390741789e-05,2.9283994655985387e-05,2.445853688090321e-05,0.02333213234738877,0.030864863080884854
1,4,10,8,0.4,2.6666666666666665,57,,1,0.0008822101128662653,8.069489563282063e-06,1.60095377653553e-05,2.7453559216081986e-05,5.1679543610172486e-05,2.580303253872296e-05,2.1215192913921534e-05,0.02190314573739245,0.033377023002208704
2,4,10,8,0.5,2.6666666666666665,58,,2,0.0008842806892568905,5.2597220933611615e-06,1.8703487083516774e-05,2.340454437955835e-05,5.239675237740157e-05,2.4941126483459462e-05,2.0621285851785965e-05,0.020980954050984643,0.03486916514261585
3,4,10,8,0.6,2.6666666666666665,59,,3,0.0008860441211944629,4.454770806669522e-06,2.505503813264791e-05,2.272607589700395e-05,5.334808400023909e-05,2.639599220914012e-05,2.2515629629312985e-05,0.02039562694811748,0.03572142062622996
4,4,10,8,0.7,2.6666666666666665,60,,4,0.000889188420246234,6.180788803732947e-06,3.692376851205483e-05,2.3816071771272014e-05,5.391101287765857e-05,3.020791049117959e-05,2.7322699880084358e-05,0.019869822519515454,0.03647194145817441
5,4,10,8,0.8,2.6666666666666665,61,,5,0.0008962860582613655,1.0100609827107533e-05,5.893589166157424e-05,2.911212499928271e-05,5.490551274436936e-05,3.826353480808346e-05,3.7015106786835936e-05,0.0195708671521262,0.03683402823135183
6,4,10,8,0.9,2.6666666666666665,62,,6,0.0009061534817838021,1.6455032095135846e-05,9.756086581185396e-05,3.851479164672786e-05,5.6570284612704656e-05,5.227524354160558e-05,5.3852812012235364e-05,0.019573155240690865,0.03669622820395674
7,4,10,8,0.99,2.6666666666666665,63,,7,0.0009285040284279993,2.578845037289601e-05,0.0002026440871831865,5.761405727481064e-05,5.810568350014624e-05,8.603806958275986e-05,9.543080264785364e-05,0.01972211742834585,0.03636367792408089
0,4,10,8,0.999,2.6666666666666665,64,,0,0.0009344990534208206,2.7942576656897114e-05,0.0002292768813616499,6.135190703182759e-05,5.848047011816507e-05,9.426295879213492e-05,0.00010571188219784779,0.019796419839068782,0.03622367411382753
1,8,2,8,0.001,2.6666666666666665,65,,1,0.0015555475090437254,0.0013355273320900143,0.00010211274529887309,0.0005065435025026176,5.327260546448007e-05,0.0004993640463389963,0.0005725160437908121,-0.07067018526718304,0.36056431444955833
2,8,2,8,0.01,2.6666666666666665,66,,2,0.0018024823370904352,0.0013184847172769514,0.0008482452059653482,0.0005734215740368094,1.9647818919578386e-05,0.0006899498290496718,0.0008210882065734979,-0.010378403192582113,0.10317722002946526
3,8,2,8,0.1,2.6666666666666665,67,,3,0.0009076042775542234,3.4695138662548145e-05,3.199126286342813e-05,3.6761718374403186e-05,3.943570568291112e-05,3.572095639582265e-05,3.492837118487781e-05,0.031791506260284555,0.009932451656195204
4,8,2,8,0.2,2.6666666666666665,68,,4,0.0008879625914646204,1.456782634765328e-05,1.3287840382870405e-05,1.9214894889228817e-05,4.5618936348891e-05,2.3172374492160875e-05,2.0090860783194532e-05,0.026512653184363272,0.02151098812000482
5,8,2,8,0.3,2.6666666666666665,69,,5,0.0008797614854756024,6.886090351471381e-06,9.836944086661898e-06,1.3389357544652703e-05,4.684183765214793e-05,1.9238557408733477e-05,1.56128773455112e-05,0.024501835577877714,0.025384984763374894
6,8,2,8,0.4,2.6666666666666665,70,,6,0.0008758597909318172,3.675256639405878e-06,9.746352915969285e-06,1.0885976320121579e-05,4.743387261080586e-05,1.7935364621575653e-05,1.4193844673612961e-05,0.02336499380642394,0.027368425895894066
7,8,2,8,0.5,2.6666666666666665,71,,7,0.0008744938879812039,3.765684746188843e-06,1.1739637292062879e-05,1.0072428641430983e-05,4.776140720057505e-05,1.833478947006444e-05,1.480741331975158e-05,0.022550577393657005,0.028694806249173213
0,8,2,8,0.6,2.6666666666666665,72,,0,0.0008735233136485976,6.354328718728374e-06,1.6228202357694757e-05,1.0175233739978975e-05,4.8319508714774105e-05,2.0269318382794052e-05,1.727663410126656e-05,0.022011748073213523,0.029492448657491444
1,8,2,8,0.7,2.6666666666666665,73,,1,0.0008754594709077865,1.0944001364759297e-05,2.5401985061733924e-05,1.0880261349432639e-05,4.893454834573278e-05,2.404019903041466e-05,2.2084463758025313e-05,0.021593983082272603,0.030081282492190775
2,8,2,8,0.8,2.6666666666666665,74,,2,0.0008827903784641367,1.847371061543779e-05,4.861573421040526e-05,1.3380711912926661e-05,4.956512933353046e-05,3.2508821518075044e-05,3.2854121816357214e-05,0.021255979737081647,0.03055778180515719
3,8,2,8,0.9,2.6666666666666665,75,,3,0.0008953488962582859,2.8902565023193864e-05,9.591340060371325e-05,2.023077674955055e-05,5.0280604338436946e-05,4.883183667872365e-05,5.3357218723633624e-05,0.021024122857243185,0.030880362444834823
4,8,2,8,0.99,2.6666666666666665,76,,4,0.0009183324893327888,4.394783698766511e-05,0.00021646832907779172,3.520361951008981e-05,5.145767508062497e-05,8.676936516404289e-05,0.00010124893778693807,0.021140519951412952,0.030583368653551983
5,8,2,8,0.999,2.6666666666666665,77,,5,0.0009251853158091315,4.6551661753352076e-05,0.0002448339220776866,3.7000352706574184e-05,5.169284433963664e-05,9.501969521931236e-05,0.00011191072745138135,0.021198774856900332,0.030463797479645775
6,8,4,8,0.001,2.6666666666666665,78,,6,0.001555508757138348,0.0013201304867786743,0.00010195212894631562,0.0005187593689349022,5.3510179960643224e-05,0.0004985880411551339,0.0005694057967242543,-0.07067964841606444,0.3612440225422626
7,8,4,8,0.01,2.6666666666666665,79,,7,0.0018004116852246021,0.0013454685991927426,0.0008012146455533155,0.0005962984997846918,2.0983515312907673e-05,0.0006909913149609144,0.0008184414174316194,-0.01141023231228193,0.10619521765375448
0,8,4,8,0.1,2.6666666666666665,80,,0,0.0009061400859755839,4.021547273181054e-05,4.077589790069192e-05,7.010366409487847e-05,3.9649936464667794e-05,4.768624279801218e-05,4.528939030409187e-05,0.030934975072650753,0.013041286664134032
