Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
6,4,4,8,0.8,2.6666666666666665,22,,6,0.01978247717080795,0.03572404792507347,3.7657188082309806e-05,1.8828594041154903e-06,1356743185722.489
7,4,4,8,0.9,2.6666666666666665,23,,7,0.01969009759437927,0.03576249100067265,5.727099197157346e-05,2.863549598578673e-06,2063404944818.5352
0,4,4,8,0.99,2.6666666666666665,24,,0,0.01984677004365517,0.0354069163900426,0.0001017832631582229,5.089163157911145e-06,3667128528255.4062
1,4,4,8,0.999,2.6666666666666665,25,,1,0.019910874841951247,0.035284806249072896,0.00011489432047899333,5.744716023949667e-06,4139504151169.446
2,4,6,8,0.001,2.6666666666666665,26,,2,-0.07194021089844664,0.3648854988020275,0.0004803423798494351,2.4017118992471754e-05,17306158103201.383
3,4,6,8,0.01,2.6666666666666665,27,,3,-0.012354275928015083,0.10893651080338188,0.0007367153598542984,3.683576799271492e-05,26542968160943.508
4,4,6,8,0.1,2.6666666666666665,28,,4,0.03062742597827215,0.014870064934762266,5.207594500432402e-05,2.603797250216201e-06,1876233652131.5205
5,4,6,8,0.2,2.6666666666666665,29,,5,0.0254619891184988,0.026495703299094363,3.347371442046782e-05,1.6736857210233912e-06,1206017662325.8022
6,4,6,8,0.3,2.6666666666666665,30,,6,0.023267093110319034,0.03072656238717682,2.6527834737646347e-05,1.3263917368823174e-06,955765973115.2815
7,4,6,8,0.4,2.6666666666666665,31,,7,0.02187377362334797,0.03314220873182612,2.3031902130974056e-05,1.1515951065487028e-06,829811726837.5079
0,4,6,8,0.5,2.6666666666666665,32,,0,0.020934782350771276,0.034644518866159484,2.2319183084608693e-05,1.1159591542304347e-06,804133316984.4607
1,4,6,8,0.6,2.6666666666666665,33,,1,0.020230269120614708,0.03570766844624998,2.345680710763053e-05,1.1728403553815265e-06,845120541993.8116
2,4,6,8,0.7,2.6666666666666665,34,,2,0.019794421295609783,0.0362934561265138,2.8032061074835312e-05,1.4016030537417656e-06,1009961438488.4424
3,4,6,8,0.8,2.6666666666666665,35,,3,0.019557274890597796,0.03654631716949592,3.771123715662147e-05,1.8855618578310734e-06,1358690508849.9268
4,4,6,8,0.9,2.6666666666666665,36,,4,0.019517115597289837,0.036490175405026914,5.511861695628537e-05,2.755930847814269e-06,1985857462284.0312
5,4,6,8,0.99,2.6666666666666665,37,,5,0.019582746942947437,0.03631355978961501,9.83010140467946e-05,4.91505070233973e-06,3541667281850.2886
6,4,6,8,0.999,2.6666666666666665,38,,6,0.019672004438162367,0.03614431117610455,0.00011190056704442197,5.595028352221099e-06,4031642816350.4478
7,4,8,8,0.001,2.6666666666666665,39,,7,-0.07193857705145329,0.3648475434857381,0.00048035917371368875,2.4017958685684438e-05,17306763165927.744
0,4,8,8,0.01,2.6666666666666665,40,,0,-0.01247324992328775,0.10927990985382044,0.0007361431977594078,3.680715988797039e-05,26522353848964.754
1,4,8,8,0.1,2.6666666666666665,41,,1,0.030664806079529552,0.014883671214014203,5.2159696566039806e-05,2.6079848283019904e-06,1879251120148.6
2,4,8,8,0.2,2.6666666666666665,42,,2,0.0254421783948883,0.026652314501287272,3.271712602905629e-05,1.6358563014528146e-06,1178758692744.7317
3,4,8,8,0.3,2.6666666666666665,43,,3,0.023176655547575045,0.031037104629750414,2.6111231665939454e-05,1.3055615832969726e-06,940756265607.2769
4,4,8,8,0.4,2.6666666666666665,44,,4,0.021696311942299526,0.03363488845073999,2.2814493010813162e-05,1.1407246505406582e-06,821978737777.1595
5,4,8,8,0.5,2.6666666666666665,45,,5,0.020823771397588176,0.035034054264292944,2.2736727278026858e-05,1.136836363901343e-06,819176931975.5708
6,4,8,8,0.6,2.6666666666666665,46,,6,0.020175313088727928,0.03600495089651021,2.4576310150424057e-05,1.228815507521203e-06,885454889884.7322
7,4,8,8,0.7,2.6666666666666665,47,,7,0.019594887172244085,0.03686435459824933,2.8957971517768734e-05,1.4478985758884367e-06,1043320877894.6296
0,4,8,8,0.8,2.6666666666666665,48,,0,0.01912680682492912,0.03754917064182604,3.9464580750751214e-05,1.9732290375375608e-06,1421861369307.3281
1,4,8,8,0.9,2.6666666666666665,49,,1,0.01905322132677236,0.037559871980602844,5.9366929949674104e-05,2.9683464974837054e-06,2138919068795.861
