Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
2,4,6,8,0.001,2.6666666666666665,26,,2,2.6624388479041793e-05,1.967337152522234e-06,1.967337152522234e-06
3,4,6,8,0.01,2.6666666666666665,27,,3,4.050490988999579e-05,2.2283968724905657e-06,2.2283968724905657e-06
4,4,6,8,0.1,2.6666666666666665,28,,4,2.8609263174716335e-06,1.262272859653518e-07,1.262272859653518e-07
5,4,6,8,0.2,2.6666666666666665,29,,5,1.829917248931893e-06,1.182779625706061e-07,1.182779625706061e-07
6,4,6,8,0.3,2.6666666666666665,30,,6,1.4454920932776e-06,1.224280575542584e-07,1.224280575542584e-07
7,4,6,8,0.4,2.6666666666666665,31,,7,1.252439656589551e-06,1.251385195818575e-07,1.251385195818575e-07
0,4,6,8,0.5,2.6666666666666665,32,,0,1.2131472188726829e-06,1.2879165624572333e-07,1.2879165624572333e-07
1,4,6,8,0.6,2.6666666666666665,33,,1,1.276182450319517e-06,1.338746155710351e-07,1.338746155710351e-07
2,4,6,8,0.7,2.6666666666666665,34,,2,1.5286413056463074e-06,1.424677373731168e-07,1.424677373731168e-07
3,4,6,8,0.8,2.6666666666666665,35,,3,2.0627447726728207e-06,1.5930638769896593e-07,1.5930638769896593e-07
4,4,6,8,0.9,2.6666666666666665,36,,4,3.023033430802007e-06,1.8402849215257006e-07,1.8402849215257006e-07
5,4,6,8,0.99,2.6666666666666665,37,,5,5.409654951486456e-06,3.146030752778877e-07,3.146030752778877e-07
6,4,6,8,0.999,2.6666666666666665,38,,6,6.161494798521928e-06,3.5572645601256264e-07,3.5572645601256264e-07
7,4,8,8,0.001,2.6666666666666665,39,,7,2.6625327217102718e-05,1.9671510784278526e-06,1.9671510784278526e-06
0,4,8,8,0.01,2.6666666666666665,40,,0,4.0473955315233844e-05,2.2297566727314686e-06,2.2297566727314686e-06
1,4,8,8,0.1,2.6666666666666665,41,,1,2.8662223046919084e-06,1.268795874917368e-07,1.268795874917368e-07
2,4,8,8,0.2,2.6666666666666665,42,,2,1.788858907229731e-06,1.15534881783506e-07,1.15534881783506e-07
3,4,8,8,0.3,2.6666666666666665,43,,3,1.4231149322636872e-06,1.1905895623432096e-07,1.1905895623432096e-07
4,4,8,8,0.4,2.6666666666666665,44,,4,1.241054791308393e-06,1.2162568260062295e-07,1.2162568260062295e-07
5,4,8,8,0.5,2.6666666666666665,45,,5,1.2364864530027427e-06,1.2631878578827705e-07,1.2631878578827705e-07
6,4,8,8,0.6,2.6666666666666665,46,,6,1.3379919997369047e-06,1.3205302830247887e-07,1.3205302830247887e-07
7,4,8,8,0.7,2.6666666666666665,47,,7,1.5801428601946022e-06,1.4142264992056026e-07,1.4142264992056026e-07
0,4,8,8,0.8,2.6666666666666665,48,,0,2.1602134913593774e-06,1.5695300584480473e-07,1.5695300584480473e-07
1,4,8,8,0.9,2.6666666666666665,49,,1,3.2588519981068168e-06,1.9832763369637037e-07,1.9832763369637037e-07
2,4,8,8,0.99,2.6666666666666665,50,,2,5.702409191839788e-06,3.4170805117757975e-07,3.4170805117757975e-07
3,4,8,8,0.999,2.6666666666666665,51,,3,6.477392527063677e-06,3.8944210878695655e-07,3.8944210878695655e-07
4,4,10,8,0.001,2.6666666666666665,52,,4,2.6621683024498785e-05,1.9668708331545083e-06,1.9668708331545083e-06
5,4,10,8,0.01,2.6666666666666665,53,,5,4.047000387197962e-05,2.229905123993173e-06,2.229905123993173e-06
6,4,10,8,0.1,2.6666666666666665,54,,6,2.8405624531250365e-06,1.2601356270938682e-07,1.2601356270938682e-07
7,4,10,8,0.2,2.6666666666666665,55,,7,1.7845689958618525e-06,1.1646899586274331e-07,1.1646899586274331e-07
0,4,10,8,0.3,2.6666666666666665,56,,0,1.448368156420805e-06,1.2167958174455332e-07,1.2167958174455332e-07
1,4,10,8,0.4,2.6666666666666665,57,,1,1.2752733216551861e-06,1.2532718862368207e-07,1.2532718862368207e-07
2,4,10,8,0.5,2.6666666666666665,58,,2,1.251725580822548e-06,1.3051826211514982e-07,1.3051826211514982e-07
3,4,10,8,0.6,2.6666666666666665,59,,3,1.3660618739286797e-06,1.3755410503968161e-07,1.3755410503968161e-07
4,4,10,8,0.7,2.6666666666666665,60,,4,1.637355853565566e-06,1.4638052416739548e-07,1.4638052416739548e-07
5,4,10,8,0.8,2.6666666666666665,61,,5,2.1859227093322874e-06,1.6057265453964449e-07,1.6057265453964449e-07
6,4,10,8,0.9,2.6666666666666665,62,,6,3.1418867398473025e-06,1.939252024111362e-07,1.939252024111362e-07
7,4,10,8,0.99,2.6666666666666665,63,,7,5.5319473962925905e-06,3.2955449677522376e-07,3.2955449677522376e-07
0,4,10,8,0.999,2.6666666666666665,64,,0,6.122286567386605e-06,3.575871184086553e-07,3.575871184086553e-07
1,8,2,8,0.001,2.6666666666666665,65,,1,2.6692573807697685e-05,1.985864212037333e-06,1.985864212037333e-06
2,8,2,8,0.01,2.6666666666666665,66,,2,4.095766575471254e-05,2.2173873187806693e-06,2.2173873187806693e-06
