n_fam,nt_norm,sample_id
8,0.45717148843898014,25
18,0.3057447352462417,25
38,0.20685886040180335,25
1,1.141277159599465,26
3,1.8434346727242334,26
8,2.4087080051714675,26
18,2.4914925888610786,26
38,2.4925841385291347,26
1,1.1151233140432288,27
3,1.532666632245881,27
8,1.9373396374778582,27
18,2.1855961782518394,27
38,2.392641502331924,27
1,0.35909289963495583,28
3,0.4459300966207538,28
8,0.39762620654472447,28
18,0.233329874571091,28
38,0.0920544919110009,28
1,0.6564579463009914,29
3,0.8017016122866747,29
8,0.9143966829319727,29
18,0.9884545613449565,29
38,1.0510412869826193,29
1,0.4122934332674113,30
3,0.5714598376845852,30
8,0.7188596184232343,30
18,0.8567168440331876,30
38,0.9104639239920194,30
1,0.7135771524591625,31
3,0.9923481566630672,31
8,1.3788198623781276,31
18,1.7484963236552622,31
38,1.9835291167275848,31
1,0.8866991504793438,32
3,1.2160227947720763,32
8,1.5268739146864927,32
18,1.7086242025336533,32
38,1.8499811000501352,32
1,0.35337638542077254,33
3,0.5563236346704221,33
8,0.8123766871456246,33
18,0.9642926244552532,33
38,1.011459445118485,33
1,0.9113559243827467,34
3,1.2458159530147337,34
8,1.7392786163219336,34
18,2.2418437005537104,34
38,2.553105978507949,34
1,0.5712214168826333,35
3,0.6586700002238666,35
8,0.6694434587770495,35
18,0.6251741965813313,35
38,0.6453886727418106,35
1,1.3017946673219036,36
3,1.8965079628576145,36
8,2.9526212506097247,36
18,3.9022274819010017,36
38,4.274693170923002,36
1,0.9891855517869366,37
3,1.2029302237574016,37
8,1.2813693879671562,37
18,1.2625134216053162,37
38,1.2489350437125248,37
1,0.7410672727510565,38
3,1.0745623508491753,38
8,1.3700192496606063,38
18,1.377227081296453,38
38,1.2722050366502737,38
1,0.011148438163212315,39
3,0.07213633603308711,39
8,0.010351071699786996,39
18,-0.0951189546652551,39
38,-0.14661689046421533,39
1,0.6043354224740196,40
3,0.8180196146101881,40
8,1.027699175426221,40
18,1.0977880636571968,40
38,1.1180472384846765,40
1,0.3893428176534761,41
3,0.5631181076912426,41
8,0.5711764383721554,41
18,0.3879741667060699,41
38,0.2616654789917754,41
1,1.1921590942853144,42
3,1.606973553527317,42
8,2.096444306615121,42
18,2.379098799525176,42
38,2.435559378370545,42
1,0.8676523519231032,43
3,1.222493016499042,43
8,1.6162320351858483,43
18,1.841782329922104,43
38,1.9206625601749459,43
1,0.6490412591902666,44
3,0.970814697525411,44
8,1.3475283862653338,44
18,1.4788562035770398,44
38,1.5232088245703659,44
1,0.536188630704824,45
3,0.7506200711883673,45
