,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,2.4506795208905407e-06,304,0.01,0.8,,13,513
0,2.403328696887219e-06,305,0.01,0.8,,13,5013
0,2.7284806132446037e-06,306,0.01,0.9,,13,13
0,2.7159273233721903e-06,307,0.01,0.9,,13,15
0,2.6718436421498995e-06,308,0.01,0.9,,13,23
0,2.5406599655857563e-06,309,0.01,0.9,,13,63
0,2.3446967377547785e-06,310,0.01,0.9,,13,513
0,2.3009210797351583e-06,311,0.01,0.9,,13,5013
0,2.6468565848151253e-06,312,0.01,1.0,,13,13
0,2.633281962191566e-06,313,0.01,1.0,,13,15
0,2.5859581977149383e-06,314,0.01,1.0,,13,23
0,2.4493808728020376e-06,315,0.01,1.0,,13,63
0,2.2579410267034198e-06,316,0.01,1.0,,13,513
0,2.217178620647907e-06,317,0.01,1.0,,13,5013
0,2.3783683304044583e-06,318,0.01,5.0,,13,13
0,2.3442628078619814e-06,319,0.01,5.0,,13,15
0,2.251497122099505e-06,320,0.01,5.0,,13,23
0,2.103950663258194e-06,321,0.01,5.0,,13,63
0,2.010976491270566e-06,322,0.01,5.0,,13,513
0,1.9984534412685823e-06,323,0.01,5.0,,13,5013
0,2.790921902875475e-06,324,0.01,10.0,,13,13
0,2.7548261170155575e-06,325,0.01,10.0,,13,15
0,2.66714125119215e-06,326,0.01,10.0,,13,23
0,2.5537074372351537e-06,327,0.01,10.0,,13,63
0,2.4952866583498404e-06,328,0.01,10.0,,13,513
0,2.488055924840812e-06,329,0.01,10.0,,13,5013
0,3.3726963235202208e-06,330,0.01,20.0,,13,13
0,3.3407190367296724e-06,331,0.01,20.0,,13,15
0,3.269652485334196e-06,332,0.01,20.0,,13,23
0,3.1907180974270657e-06,333,0.01,20.0,,13,63
0,3.155441501815869e-06,334,0.01,20.0,,13,513
0,3.151319796161864e-06,335,0.01,20.0,,13,5013
0,4.115290898213824e-06,336,0.01,50.0,,13,13
0,4.090900695045795e-06,337,0.01,50.0,,13,15
0,4.041006217913251e-06,338,0.01,50.0,,13,23
0,3.993031370741249e-06,339,0.01,50.0,,13,63
0,3.974520660697919e-06,340,0.01,50.0,,13,513
