Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
66,8,2,0.825,8,0.0,0.1,2.6666666666666665,66,,2,2.1788815308812832e-05,1.6999732532984566e-06,1.6999732532984566e-06
67,8,2,0.825,8,0.0,0.01,2.6666666666666665,67,,3,1.828396579305632e-05,1.3575555899799607e-06,1.3575555899799607e-06
68,8,2,0.825,8,0.0,0.001,2.6666666666666665,68,,4,1.7797364052713223e-05,1.3006056350940631e-06,1.3006056350940631e-06
69,8,2,0.825,8,0.0,0.0001,2.6666666666666665,69,,5,1.8758819915325815e-05,1.3871611908297345e-06,1.3871611908297345e-06
70,8,2,0.825,8,0.0,1e-05,2.6666666666666665,70,,6,1.953914848366123e-05,1.4612338435385085e-06,1.4612338435385085e-06
71,8,2,0.825,8,0.0,1e-06,2.6666666666666665,71,,7,2.008932513156936e-05,1.514681481720402e-06,1.514681481720402e-06
72,8,2,0.825,8,0.01,0.1,2.6666666666666665,72,,0,5.526946871073647e-06,3.15920503472596e-07,3.15920503472596e-07
73,8,2,0.825,8,0.01,0.01,2.6666666666666665,73,,1,8.465316262625117e-06,5.096221132938162e-07,5.096221132938162e-07
74,8,2,0.825,8,0.01,0.001,2.6666666666666665,74,,2,1.0914583294680959e-05,6.724292439171519e-07,6.724292439171519e-07
75,8,2,0.825,8,0.01,0.0001,2.6666666666666665,75,,3,1.3203964748717856e-05,8.56099481995555e-07,8.56099481995555e-07
76,8,2,0.825,8,0.01,1e-05,2.6666666666666665,76,,4,1.4896073920754516e-05,1.006279019939337e-06,1.006279019939337e-06
77,8,2,0.825,8,0.01,1e-06,2.6666666666666665,77,,5,1.6110823590261897e-05,1.120096529227239e-06,1.120096529227239e-06
78,8,2,0.825,8,0.1,0.1,2.6666666666666665,78,,6,2.7500400531305048e-06,2.300938147401559e-07,2.300938147401559e-07
79,8,2,0.825,8,0.1,0.01,2.6666666666666665,79,,7,2.4439619519429763e-06,1.2894064149303258e-07,1.2894064149303258e-07
80,8,2,0.825,8,0.1,0.001,2.6666666666666665,80,,0,2.7121427949975506e-06,1.2368721414670496e-07,1.2368721414670496e-07
81,8,2,0.825,8,0.1,0.0001,2.6666666666666665,81,,1,2.93169537645824e-06,1.4673241706764916e-07,1.4673241706764916e-07
82,8,2,0.825,8,0.1,1e-05,2.6666666666666665,82,,2,3.1274480243539933e-06,1.626634066474149e-07,1.626634066474149e-07
83,8,2,0.825,8,0.1,1e-06,2.6666666666666665,83,,3,3.3331222030490153e-06,1.7236936964464548e-07,1.7236936964464548e-07
84,8,2,0.825,8,0.2,0.1,2.6666666666666665,84,,4,4.576329656151321e-06,3.4817580972715394e-07,3.4817580972715394e-07
85,8,2,0.825,8,0.2,0.01,2.6666666666666665,85,,5,3.0745485352103402e-06,2.2668475375891645e-07,2.2668475375891645e-07
86,8,2,0.825,8,0.2,0.001,2.6666666666666665,86,,6,2.781925350420344e-06,1.631117454910143e-07,1.631117454910143e-07
87,8,2,0.825,8,0.2,0.0001,2.6666666666666665,87,,7,2.92729461951735e-06,1.5142846390760444e-07,1.5142846390760444e-07
88,8,2,0.825,8,0.2,1e-05,2.6666666666666665,88,,0,3.097608193904353e-06,1.5358412982102604e-07,1.5358412982102604e-07
89,8,2,0.825,8,0.2,1e-06,2.6666666666666665,89,,1,3.2321917511111527e-06,1.599610040386619e-07,1.599610040386619e-07
90,8,2,0.825,8,0.3,0.1,2.6666666666666665,90,,2,6.240702345410313e-06,4.283839239244e-07,4.283839239244e-07
91,8,2,0.825,8,0.3,0.01,2.6666666666666665,91,,3,4.186755385033389e-06,3.290516978851146e-07,3.290516978851146e-07
92,8,2,0.825,8,0.3,0.001,2.6666666666666665,92,,4,3.1156688641578435e-06,2.252231720322202e-07,2.252231720322202e-07
93,8,2,0.825,8,0.3,0.0001,2.6666666666666665,93,,5,2.893548667945532e-06,1.7905260861585216e-07,1.7905260861585216e-07
94,8,2,0.825,8,0.3,1e-05,2.6666666666666665,94,,6,2.9569738462112373e-06,1.6212261652194915e-07,1.6212261652194915e-07
95,8,2,0.825,8,0.3,1e-06,2.6666666666666665,95,,7,3.072542434262938e-06,1.5861279792787427e-07,1.5861279792787427e-07
96,8,2,0.825,8,0.4,0.1,2.6666666666666665,96,,0,7.701062668141685e-06,4.873229379492388e-07,4.873229379492388e-07
97,8,2,0.825,8,0.4,0.01,2.6666666666666665,97,,1,5.345868004700153e-06,4.196601173698447e-07,4.196601173698447e-07
98,8,2,0.825,8,0.4,0.001,2.6666666666666665,98,,2,3.92315398970764e-06,3.0601547596499725e-07,3.0601547596499725e-07
99,8,2,0.825,8,0.4,0.0001,2.6666666666666665,99,,3,3.1339169889379344e-06,2.2646708833387126e-07,2.2646708833387126e-07
100,8,2,0.825,8,0.4,1e-05,2.6666666666666665,100,,4,2.9326208532219627e-06,1.868805788528562e-07,1.868805788528562e-07
101,8,2,0.825,8,0.4,1e-06,2.6666666666666665,101,,5,2.9528216322719603e-06,1.693425384567865e-07,1.693425384567865e-07
102,8,2,0.825,8,0.5,0.1,2.6666666666666665,102,,6,9.205183295688366e-06,5.506327729297514e-07,5.506327729297514e-07
103,8,2,0.825,8,0.5,0.01,2.6666666666666665,103,,7,6.306683342279701e-06,4.886042847061137e-07,4.886042847061137e-07
104,8,2,0.825,8,0.5,0.001,2.6666666666666665,104,,0,4.920735779348613e-06,3.9130698209858255e-07,3.9130698209858255e-07
105,8,2,0.825,8,0.5,0.0001,2.6666666666666665,105,,1,3.834590035611349e-06,2.985145280710116e-07,2.985145280710116e-07
106,8,2,0.825,8,0.5,1e-05,2.6666666666666665,106,,2,3.1905331455740673e-06,2.326104824885893e-07,2.326104824885893e-07
107,8,2,0.825,8,0.5,1e-06,2.6666666666666665,107,,3,2.9747603676566307e-06,1.967274440575838e-07,1.967274440575838e-07
108,8,2,0.825,8,0.6,0.1,2.6666666666666665,108,,4,1.1144846183742286e-05,6.615862526685699e-07,6.615862526685699e-07
109,8,2,0.825,8,0.6,0.01,2.6666666666666665,109,,5,7.103296451926891e-06,5.357019394471718e-07,5.357019394471718e-07
110,8,2,0.825,8,0.6,0.001,2.6666666666666665,110,,6,5.838844136919868e-06,4.713086905427925e-07,4.713086905427925e-07
111,8,2,0.825,8,0.6,0.0001,2.6666666666666665,111,,7,4.747169977607052e-06,3.778490422351779e-07,3.778490422351779e-07
112,8,2,0.825,8,0.6,1e-05,2.6666666666666665,112,,0,3.916032957960605e-06,3.0623315235728465e-07,3.0623315235728465e-07
113,8,2,0.825,8,0.6,1e-06,2.6666666666666665,113,,1,3.330072912271245e-06,2.48006429873434e-07,2.48006429873434e-07
114,8,2,0.825,8,0.7,0.1,2.6666666666666665,114,,2,1.4057820349370451e-05,8.842828253076751e-07,8.842828253076751e-07
115,8,2,0.825,8,0.7,0.01,2.6666666666666665,115,,3,7.826452138299514e-06,5.619956577408612e-07,5.619956577408612e-07
116,8,2,0.825,8,0.7,0.001,2.6666666666666665,116,,4,6.6633853681635425e-06,5.395411109364585e-07,5.395411109364585e-07
117,8,2,0.825,8,0.7,0.0001,2.6666666666666665,117,,5,5.638538442643108e-06,4.605787897712757e-07,4.605787897712757e-07
118,8,2,0.825,8,0.7,1e-05,2.6666666666666665,118,,6,4.815665338645893e-06,3.848714036493533e-07,3.848714036493533e-07
119,8,2,0.825,8,0.7,1e-06,2.6666666666666665,119,,7,4.156137864220141e-06,3.2792205542454216e-07,3.2792205542454216e-07
120,8,2,0.825,8,0.8,0.1,2.6666666666666665,120,,0,1.825991265956908e-05,1.2536192503188483e-06,1.2536192503188483e-06
121,8,2,0.825,8,0.8,0.01,2.6666666666666665,121,,1,8.944512365959e-06,5.793754020145825e-07,5.793754020145825e-07
122,8,2,0.825,8,0.8,0.001,2.6666666666666665,122,,2,7.277015188666038e-06,5.87883316508667e-07,5.87883316508667e-07
123,8,2,0.825,8,0.8,0.0001,2.6666666666666665,123,,3,6.5934922107237845e-06,5.431901446278213e-07,5.431901446278213e-07
124,8,2,0.825,8,0.8,1e-05,2.6666666666666665,124,,4,5.733963866912172e-06,4.7379739215692284e-07,4.7379739215692284e-07
125,8,2,0.825,8,0.8,1e-06,2.6666666666666665,125,,5,5.113337759495858e-06,4.1361226377114373e-07,4.1361226377114373e-07
126,8,2,0.825,8,0.9,0.1,2.6666666666666665,126,,6,2.2653844309230506e-05,1.6433151713602775e-06,1.6433151713602775e-06
127,8,2,0.825,8,0.9,0.01,2.6666666666666665,127,,7,1.3691102138802341e-05,8.395416731243895e-07,8.395416731243895e-07
128,8,2,0.825,8,0.9,0.001,2.6666666666666665,128,,0,7.865526573792059e-06,6.14628202235954e-07,6.14628202235954e-07
129,8,2,0.825,8,0.9,0.0001,2.6666666666666665,129,,1,7.206108200746966e-06,5.975872926655323e-07,5.975872926655323e-07
130,8,2,0.825,8,0.9,1e-05,2.6666666666666665,130,,2,6.882583025275868e-06,5.724558974465528e-07,5.724558974465528e-07
131,8,2,0.825,8,0.9,1e-06,2.6666666666666665,131,,3,6.288238561369755e-06,5.243000765164669e-07,5.243000765164669e-07
132,8,2,0.85,8,0.0,0.1,2.6666666666666665,132,,4,2.209367768254372e-05,1.7095974175288376e-06,1.7095974175288376e-06
133,8,2,0.85,8,0.0,0.01,2.6666666666666665,133,,5,1.7438834830009397e-05,1.299373421255261e-06,1.299373421255261e-06
134,8,2,0.85,8,0.0,0.001,2.6666666666666665,134,,6,1.6599596344066045e-05,1.2267951319379777e-06,1.2267951319379777e-06
