Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
116,8,2,0.825,8,0.7,0.001,2.6666666666666665,116,,4,6.965549378756562e-06,5.579692173977363e-07,5.579692173977363e-07
117,8,2,0.825,8,0.7,0.0001,2.6666666666666665,117,,5,5.892491654884072e-06,4.7662466808527624e-07,4.7662466808527624e-07
118,8,2,0.825,8,0.7,1e-05,2.6666666666666665,118,,6,5.0315048561468965e-06,3.9887674770641784e-07,3.9887674770641784e-07
119,8,2,0.825,8,0.7,1e-06,2.6666666666666665,119,,7,4.34211791239448e-06,3.402727815049442e-07,3.402727815049442e-07
120,8,2,0.825,8,0.8,0.1,2.6666666666666665,120,,0,1.9232482395811185e-05,1.3206288060225338e-06,1.3206288060225338e-06
121,8,2,0.825,8,0.8,0.01,2.6666666666666665,121,,1,9.366255278098226e-06,6.017878737548178e-07,6.017878737548178e-07
122,8,2,0.825,8,0.8,0.001,2.6666666666666665,122,,2,7.607310361578657e-06,6.080691688567347e-07,6.080691688567347e-07
123,8,2,0.825,8,0.8,0.0001,2.6666666666666665,123,,3,6.891853770431886e-06,5.616977851982371e-07,5.616977851982371e-07
124,8,2,0.825,8,0.8,1e-05,2.6666666666666665,124,,4,5.992063554131404e-06,4.90169278555441e-07,4.90169278555441e-07
125,8,2,0.825,8,0.8,1e-06,2.6666666666666665,125,,5,5.3427955701983105e-06,4.2847614594052725e-07,4.2847614594052725e-07
126,8,2,0.825,8,0.9,0.1,2.6666666666666665,126,,6,2.3885225181888102e-05,1.7338693939561334e-06,1.7338693939561334e-06
127,8,2,0.825,8,0.9,0.01,2.6666666666666665,127,,7,1.4386365594621838e-05,8.808030635386744e-07,8.808030635386744e-07
128,8,2,0.825,8,0.9,0.001,2.6666666666666665,128,,0,8.222682672973939e-06,6.358223470245219e-07,6.358223470245219e-07
129,8,2,0.825,8,0.9,0.0001,2.6666666666666665,129,,1,7.532070000046714e-06,6.180826406314786e-07,6.180826406314786e-07
130,8,2,0.825,8,0.9,1e-05,2.6666666666666665,130,,2,7.1940469085393605e-06,5.920910359278084e-07,5.920910359278084e-07
131,8,2,0.825,8,0.9,1e-06,2.6666666666666665,131,,3,6.571922203298455e-06,5.421267709622173e-07,5.421267709622173e-07
132,8,2,0.85,8,0.0,0.1,2.6666666666666665,132,,4,2.330679474026788e-05,1.8043918984800607e-06,1.8043918984800607e-06
133,8,2,0.85,8,0.0,0.01,2.6666666666666665,133,,5,1.8387748936980604e-05,1.370532814544273e-06,1.370532814544273e-06
134,8,2,0.85,8,0.0,0.001,2.6666666666666665,134,,6,1.750154781062842e-05,1.2938457297300858e-06,1.2938457297300858e-06
135,8,2,0.85,8,0.0,0.0001,2.6666666666666665,135,,7,1.8481712069890673e-05,1.393966606456159e-06,1.393966606456159e-06
136,8,2,0.85,8,0.0,1e-05,2.6666666666666665,136,,0,1.935663130716468e-05,1.482205125121875e-06,1.482205125121875e-06
137,8,2,0.85,8,0.0,1e-06,2.6666666666666665,137,,1,2.0017575314189553e-05,1.5477080823977856e-06,1.5477080823977856e-06
138,8,2,0.85,8,0.01,0.1,2.6666666666666665,138,,2,4.833543357821522e-06,2.604072142686264e-07,2.604072142686264e-07
139,8,2,0.85,8,0.01,0.01,2.6666666666666665,139,,3,7.474004437754384e-06,4.4597720862785127e-07,4.4597720862785127e-07
140,8,2,0.85,8,0.01,0.001,2.6666666666666665,140,,4,9.895938351389606e-06,6.003276175057666e-07,6.003276175057666e-07
141,8,2,0.85,8,0.01,0.0001,2.6666666666666665,141,,5,1.2219527123730684e-05,7.871678525716615e-07,7.871678525716615e-07
142,8,2,0.85,8,0.01,1e-05,2.6666666666666665,142,,6,1.3985735080983044e-05,9.469800416232993e-07,9.469800416232993e-07
143,8,2,0.85,8,0.01,1e-06,2.6666666666666665,143,,7,1.532036308567695e-05,1.073674518991303e-06,1.073674518991303e-06
144,8,2,0.85,8,0.1,0.1,2.6666666666666665,144,,0,2.85709736325172e-06,2.882253485785317e-07,2.882253485785317e-07
145,8,2,0.85,8,0.1,0.01,2.6666666666666665,145,,1,2.2984943370791474e-06,1.3412072946058725e-07,1.3412072946058725e-07
146,8,2,0.85,8,0.1,0.001,2.6666666666666665,146,,2,2.500527933867537e-06,1.0616215009815945e-07,1.0616215009815945e-07
147,8,2,0.85,8,0.1,0.0001,2.6666666666666665,147,,3,2.6294086148886404e-06,1.2572273392125572e-07,1.2572273392125572e-07
148,8,2,0.85,8,0.1,1e-05,2.6666666666666665,148,,4,2.727684505906472e-06,1.4244633075581545e-07,1.4244633075581545e-07
149,8,2,0.85,8,0.1,1e-06,2.6666666666666665,149,,5,2.8653766476400602e-06,1.52711506847048e-07,1.52711506847048e-07
150,8,2,0.85,8,0.2,0.1,2.6666666666666665,150,,6,4.538649482212701e-06,3.875709659919835e-07,3.875709659919835e-07
151,8,2,0.85,8,0.2,0.01,2.6666666666666665,151,,7,3.047650768952313e-06,2.488996674355237e-07,2.488996674355237e-07
152,8,2,0.85,8,0.2,0.001,2.6666666666666665,152,,0,2.663733831975921e-06,1.5226926724188287e-07,1.5226926724188287e-07
