Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
74,8,2,0.825,8,0.01,0.001,2.6666666666666665,74,,2,0.004511482029666086,0.05091069024295296,0.00020784828574293388,1.0392414287146694e-05,0.023731834762604494
75,8,2,0.825,8,0.01,0.0001,2.6666666666666665,75,,3,0.003438835958980431,0.056577223714415516,0.00025133128235438725,1.2566564117719362e-05,0.028696664214420093
76,8,2,0.825,8,0.01,1e-05,2.6666666666666665,76,,4,0.0027660152417417127,0.05981384599920214,0.0002834485443089569,1.4172427215447845e-05,0.032363769531207835
77,8,2,0.825,8,0.01,1e-06,2.6666666666666665,77,,5,0.0023101692959359523,0.061982546971551256,0.0003064969344674438,1.532484672337219e-05,0.0349954033925607
78,8,2,0.825,8,0.1,0.1,2.6666666666666665,78,,6,0.01654519708140349,-0.07867327721588241,5.274357037556341e-05,2.6371785187781706e-06,0.006022189177402084
79,8,2,0.825,8,0.1,0.01,2.6666666666666665,79,,7,0.007926809141686602,0.01550436695299895,4.674362220182042e-05,2.337181110091021e-06,0.005337123249942059
80,8,2,0.825,8,0.1,0.001,2.6666666666666665,80,,0,0.0051113843098474256,0.044205598810445106,5.1796569548818986e-05,2.5898284774409493e-06,0.005914061910150314
81,8,2,0.825,8,0.1,0.0001,2.6666666666666665,81,,1,0.0037915808712650385,0.05368618421451206,5.596542005613433e-05,2.7982710028067163e-06,0.0063900555948515165
82,8,2,0.825,8,0.1,1e-05,2.6666666666666665,82,,2,0.003026677452388762,0.057804629711406985,5.969247643660979e-05,2.9846238218304896e-06,0.006815605826628502
83,8,2,0.825,8,0.1,1e-06,2.6666666666666665,83,,3,0.0025191741801736172,0.06036860352935292,6.36091377849964e-05,3.18045688924982e-06,0.0072628048959340365
84,8,2,0.825,8,0.2,0.1,2.6666666666666665,84,,4,0.023312226954042958,-0.15448446252856818,8.770303258370172e-05,4.385151629185087e-06,0.010013813056076582
85,8,2,0.825,8,0.2,0.01,2.6666666666666665,85,,5,0.00962727546526121,-0.0063525985279886,5.891199828506237e-05,2.9455999142531186e-06,0.006726491892096203
86,8,2,0.825,8,0.2,0.001,2.6666666666666665,86,,6,0.005791197852388689,0.035680838641024296,5.319550012963412e-05,2.659775006481706e-06,0.006073789902467363
87,8,2,0.825,8,0.2,0.0001,2.6666666666666665,87,,7,0.004114763937409945,0.049928914807404405,5.591317846330378e-05,2.7956589231651887e-06,0.006384090720787925
88,8,2,0.825,8,0.2,1e-05,2.6666666666666665,88,,0,0.0031931661241328107,0.05555074455094139,5.913738533481235e-05,2.9568692667406174e-06,0.00675222627909477
89,8,2,0.825,8,0.2,1e-06,2.6666666666666665,89,,1,0.0026106992030331478,0.058775703880974806,6.169216549227516e-05,3.084608274613758e-06,0.007043927605064207
90,8,2,0.825,8,0.3,0.1,2.6666666666666665,90,,2,0.03069427242679474,-0.23476936183662533,0.00011949043326737269,5.974521663368634e-06,0.013643255261294415
91,8,2,0.825,8,0.3,0.01,2.6666666666666665,91,,3,0.011236665329342622,-0.02743314566243534,8.026994701792033e-05,4.0134973508960166e-06,0.009165113449087296
92,8,2,0.825,8,0.3,0.001,2.6666666666666665,92,,4,0.006421638620499451,0.026449496532433763,5.967419338200937e-05,2.9837096691004684e-06,0.006813518292304213
93,8,2,0.825,8,0.3,0.0001,2.6666666666666665,93,,5,0.0044470743367118985,0.04527992790341442,5.533186261239036e-05,2.766593130619518e-06,0.006317716867044323
94,8,2,0.825,8,0.3,1e-05,2.6666666666666665,94,,6,0.0033924996104028413,0.05254422651500629,5.6492038432467726e-05,2.8246019216233863e-06,0.006450184165291363
95,8,2,0.825,8,0.3,1e-06,2.6666666666666665,95,,7,0.0027412218518913863,0.05653690908041949,5.867095188126138e-05,2.933547594063069e-06,0.006698969541335993
96,8,2,0.825,8,0.4,0.1,2.6666666666666665,96,,0,0.039547531775774136,-0.329151152025148,0.00014732887194551805,7.366443597275902e-06,0.016821810352077037
97,8,2,0.825,8,0.4,0.01,2.6666666666666665,97,,1,0.013080285097047693,-0.05008358448604296,0.00010247317598359312,5.123658799179656e-06,0.011700247954172018
98,8,2,0.825,8,0.4,0.001,2.6666666666666665,98,,2,0.007032980476451253,0.016530819234732923,7.521243717125739e-05,3.7606218585628694e-06,0.008587653848868629
99,8,2,0.825,8,0.4,0.0001,2.6666666666666665,99,,3,0.0047759371430836075,0.039630704137659706,6.001807389609803e-05,3.0009036948049015e-06,0.006852782102006859
100,8,2,0.825,8,0.4,1e-05,2.6666666666666665,100,,4,0.003596196282631857,0.04877133901767387,5.609077048492232e-05,2.804538524246116e-06,0.006404367936436559
101,8,2,0.825,8,0.4,1e-06,2.6666666666666665,101,,5,0.002876850484551037,0.053705941601247115,5.6429061285497034e-05,2.8214530642748516e-06,0.006442993520247616
102,8,2,0.825,8,0.5,0.1,2.6666666666666665,102,,6,0.050621965151028125,-0.4459682124654847,0.00017594458814315688,8.797229407157844e-06,0.02008911393357428
103,8,2,0.825,8,0.5,0.01,2.6666666666666665,103,,7,0.015586209703882442,-0.07848366103397299,0.00012085593518697352,6.042796759348676e-06,0.01379916641450963
104,8,2,0.825,8,0.5,0.001,2.6666666666666665,104,,0,0.007724943998512244,0.005940441167744609,9.434266258734718e-05,4.717133129367359e-06,0.010771916985431226
105,8,2,0.825,8,0.5,0.0001,2.6666666666666665,105,,1,0.005105725879759293,0.033001212928080184,7.351397968505426e-05,3.675698984252713e-06,0.008393726281605776
106,8,2,0.825,8,0.5,1e-05,2.6666666666666665,106,,2,0.003808260739325104,0.04397751541770864,6.111207530307761e-05,3.0556037651538805e-06,0.006977693695709425
107,8,2,0.825,8,0.5,1e-06,2.6666666666666665,107,,3,0.003023519683880654,0.05004849408920194,5.69173052960868e-05,2.8458652648043403e-06,0.0064987405577645796
108,8,2,0.825,8,0.6,0.1,2.6666666666666665,108,,4,0.06440871141558911,-0.5907308216110125,0.0002127779814124847,1.0638899070624236e-05,0.024294700713803154
109,8,2,0.825,8,0.6,0.01,2.6666666666666665,109,,5,0.019497104579381065,-0.12060178276172095,0.00013608601022651408,6.804300511325704e-06,0.015538115682089678
110,8,2,0.825,8,0.6,0.001,2.6666666666666665,110,,6,0.008672397071752491,-0.006552668122281216,0.00011192425869130017,5.596212934565009e-06,0.012779359732002197
111,8,2,0.825,8,0.6,0.0001,2.6666666666666665,111,,7,0.005493777196872489,0.025686022423530824,9.102097810792605e-05,4.551048905396303e-06,0.010392651566342679
