Unnamed: 0,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model,jack_mse_mean,jack_mse_std,jack_mse_se
0,1.2149304334433172e-05,49,,,0.7,13,15,1.274774373395287e-05,9.089091574383356e-07,9.089091574383356e-07
0,1.2117263600792637e-05,50,,,0.7,13,23,1.27139916105707e-05,9.063440464775755e-07,9.063440464775755e-07
0,1.2042095994831691e-05,51,,,0.7,13,63,1.2634812030625627e-05,9.003184775435927e-07,9.003184775435927e-07
0,1.1887308983462527e-05,52,,,0.7,13,513,1.2471776717488654e-05,8.878743088769756e-07,8.878743088769756e-07
0,1.1721615154124444e-05,53,,,0.7,13,5013,1.2297273631164306e-05,8.744970880683348e-07,8.744970880683348e-07
0,,54,,,0.8,13,13,,,
0,,55,,,0.8,13,15,,,
0,,56,,,0.8,13,23,,,
0,,57,,,0.8,13,63,,,
0,,58,,,0.8,13,513,,,
0,,59,,,0.8,13,5013,,,
0,,60,,,0.9,13,13,,,
0,,61,,,0.9,13,15,,,
0,,62,,,0.9,13,23,,,
0,,63,,,0.9,13,63,,,
0,,64,,,0.9,13,513,,,
0,,65,,,0.9,13,5013,,,
0,,66,,,0.99,13,13,,,
0,,67,,,0.99,13,15,,,
0,,68,,,0.99,13,23,,,
0,,69,,,0.99,13,63,,,
0,,70,,,0.99,13,513,,,
0,,71,,,0.99,13,5013,,,
0,,72,,,0.999,13,13,,,
0,,73,,,0.999,13,15,,,
0,,74,,,0.999,13,23,,,
0,,75,,,0.999,13,63,,,
0,,76,,,0.999,13,513,,,
0,,77,,,0.999,13,5013,,,
